,title,address,logo,latlng,market
0,Lidl,Friedrich-franz-str. 4. 14770 - Brandenburg an der Havel,https://static0.tiendeo.de/upload_negocio/negocio_37/logo2.png,"[52.4138476, 12.5246426]",Lidl
1,"Kaufland Brandenburg, EKZ Wust",An der Bundesstraße 1. 14776 - Brandenburg an der Havel,https://static0.tiendeo.de/upload_negocio/negocio_200/logo2.png,"[52.4099521, 12.607325]",Kaufland
2,REWE Laute oHG,Neuendorfer Str. 52. 14770 - Brandenburg an der Havel,https://static0.tiendeo.de/upload_negocio/negocio_76/logo2.png,"[52.4064018, 12.53927975]",REWE
3,Nah und Gut Wollny,Hauptstr. 32. 14778 - Beetzsee,https://static0.tiendeo.de/upload_negocio/negocio_174/logo2.png,"[52.4614639, 12.5375087]",Nah und Gut Wollny
4,Real Brandenburg an der Havel,Brielower Landstraße 29. 14772 - Brandenburg an der Havel,https://static0.tiendeo.de/upload_negocio/negocio_171/logo2.png,"[52.4326436, 12.5470206]",Real
5,METRO GASTRO Brandenburg,Caasmannstraße 3. 14770 - Brandenburg an der Havel,https://static0.tiendeo.de/upload_negocio/negocio_195/logo2.png,"[52.4050237, 12.53182518785531]",METRO
6,GetränkePartner Brandenburg,Am Neuendorfer Sand 29. 14770 - Brandenburg an der Havel,https://static0.tiendeo.de/upload_negocio/negocio_1305/logo2.png,"[52.4107227, 12.5051782]",GetränkePartner
7,REWE Laute oHG,Neuendorfer Straße 76. 14770 - Brandenburg an der Havel,https://static0.tiendeo.de/upload_negocio/negocio_76/logo2.png,"[52.408099, 12.5468399]",REWE
8,Lidl,Upstallstr. 22. 14772 - Brandenburg an der Havel,https://static0.tiendeo.de/upload_negocio/negocio_37/logo2.png,"[52.4304133, 12.5333833]",Lidl
9,Fressnapf Brandenburg II,Upstallstraße 15-23a. 14772 - Brandenburg an der Havel,https://static0.tiendeo.de/upload_negocio/negocio_611/logo2.png,"[52.43220945, 12.534623108727075]",Fressnapf
10,Mäc Geiz,Steinstraße 19-20. 14776 - Brandenburg an der Havel,https://static0.tiendeo.de/upload_negocio/negocio_228/logo2.png,"[52.4072138, 12.5601989]",Mäc Geiz
11,Arko,Hauptstraße 7 . 14776 - Brandenburg an der Havel,https://static0.tiendeo.de/upload_negocio/negocio_1000/logo2.png,"[52.4091805, 12.5626063]",Arko
12,Fressnapf Brandenburg,Potsdamerstraße 21. 14776 - Brandenburg an der Havel,https://static0.tiendeo.de/upload_negocio/negocio_611/logo2.png,"[52.4051363, 12.5713229]",Fressnapf
13,GetränkePartner Brandenburg,Fichtenweg 10. 14776 - Brandenburg an der Havel,https://static0.tiendeo.de/upload_negocio/negocio_1305/logo2.png,"[52.3750673, 12.51909314779819]",GetränkePartner
14,Getränkeland,Krakauer Landstr. 33. 14776 - Brandenburg an der Havel,https://static0.tiendeo.de/upload_negocio/negocio_837/logo2.png,"[52.4236528, 12.57984754140131]",Getränkeland
15,Getränkeland,Potsdamer Straße 21 a. 14776 - Brandenburg an der Havel,https://static0.tiendeo.de/upload_negocio/negocio_837/logo2.png,"[52.4050765, 12.57128691574492]",Getränkeland
16,Arko,B1 . 14776 - Brandenburg an der Havel,https://static0.tiendeo.de/upload_negocio/negocio_1000/logo2.png,"[52.4110667, 12.6153234]",Arko
17,Nah und Gut Wollny,Hauptstr 32. 14778 - Beetzsee,https://static0.tiendeo.de/upload_negocio/negocio_253/logo2.png,"[52.4614639, 12.5375087]",Nah und Gut Wollny
18,Getränke Hoffmann,Am Bahnhof 2 . 07929 - Kloster Lehnin,https://static0.tiendeo.de/upload_negocio/negocio_728/logo2.png,"[52.3210198, 12.7342358]",Getränke Hoffmann
19,EDEKA Center Stoll,Gerhart-Hauptmann-Str. 14. 14727 - Premnitz,https://static0.tiendeo.de/upload_negocio/negocio_174/logo2.png,"[52.52871515, 12.339028891904618]",EDEKA
20,Nah und Gut Neubert,Ragösener Str 27. 14806 - Bad Belzig,https://static0.tiendeo.de/upload_negocio/negocio_253/logo2.png,"[52.24233395, 12.581065129709854]",Nah und Gut Neubert
21,Mäc Geiz,Milower Landstraße 6 a. 14712 - Rathenow,https://static0.tiendeo.de/upload_negocio/negocio_228/logo2.png,"[52.5897743, 12.3376485]",Mäc Geiz
22,"Kaufland Rathenow Milower, Landstr",Milower Landstraße 6 a. 14712 - Rathenow,https://static0.tiendeo.de/upload_negocio/negocio_200/logo2.png,"[52.5897743, 12.3376485]",Kaufland
23,Getränke-Quelle Genthin,Jahnstraße 6. 39307 - Genthin,https://static0.tiendeo.de/upload_negocio/negocio_1083/logo2.png,"[52.40831, 12.162058]",Getränke-Quelle
24,REWE Stefanie Voigt oHG,Sankt-Annen-Straße 23. 14776 - Brandenburg an der Havel,https://static0.tiendeo.de/upload_negocio/negocio_76/logo2.png,"[52.4079391, 12.5654865]",REWE
25,REWE Gordon Schneider oHG,Tschirchdamm 8. 14772 - Brandenburg an der Havel,https://static0.tiendeo.de/upload_negocio/negocio_76/logo2.png,"[52.4340316, 12.5233021]",REWE
26,Rewe Peter Koppenhagen oHG,Koenigsmarckstr. 18 a. 14774 - Brandenburg an der Havel,https://static0.tiendeo.de/upload_negocio/negocio_76/logo2.png,"[52.4029245, 12.411461558555164]",REWE
27,REWE Markt Ines Sackel oHG,Veilchenweg 2. 14772 - Brandenburg an der Havel,https://static0.tiendeo.de/upload_negocio/negocio_76/logo2.png,"[52.4261982, 12.5034861]",REWE
28,Lidl,Potsdamer str. 23. 14776 - Brandenburg an der Havel,https://static0.tiendeo.de/upload_negocio/negocio_37/logo2.png,"[52.4057738, 12.5715948]",Lidl
29,Lidl,Ernst-thälmann-str. 2. 14727 - Premnitz,https://static0.tiendeo.de/upload_negocio/negocio_37/logo2.png,"[52.53163575, 12.338255813194444]",Lidl
30,Lidl,"Geschwister-Scholl-Straße 5, 39307 Genthin",https://static0.tiendeo.de/upload_negocio/negocio_37/logo2.png,"[52.40961685, 12.155942153139353]",Lidl
31,Lidl,Bruno-baum ring 11. 14712 - Rathenow,https://static0.tiendeo.de/upload_negocio/negocio_37/logo2.png,"[52.60369085, 12.361335491190257]",Lidl
32,Kaufland Genthin,Am Legefeld 4. 39307 - Genthin,https://static0.tiendeo.de/upload_negocio/negocio_200/logo2.png,"[52.4174733, 12.1592185]",Kaufland
33,Arko,"Märkischer Platz 2, 14712 Rathenow",https://static0.tiendeo.de/upload_negocio/negocio_1000/logo2.png,"[52.6061761, 12.3417328]",Arko
34,NP-Markt Milower Land - Milow,Friedensstr. 39. 14715 - Milower Land,https://static0.tiendeo.de/upload_negocio/negocio_174/logo2.png,"[52.5168648, 12.30974572956853]",NP-Markt
35,NP-Markt Premnitz,Karl-Marx-Str. 14. 14727 - Premnitz,https://static0.tiendeo.de/upload_negocio/negocio_174/logo2.png,"[52.5418049, 12.3443218]",NP-Markt
